Ticker,Name,MarketCap,AvgVolume10D,MarketCap_Rank,Volume_Rank
NVDA,NVDA,4828167.0,189.30317,1.0,1.0
AAPL,AAPL,4000362.2,50.90566,2.0,10.0
MSFT,MSFT,3822694.8,25.16252,3.0,27.0
GOOG,GOOG,3417163.8,36.61483,4.5,15.5
GOOGL,GOOGL,3417163.8,36.61483,4.5,15.5
AMZN,AMZN,2665284.8,66.80746,6.0,7.0
AVGO,AVGO,1710487.9,20.05881,7.0,35.0
META,META,1581404.2,28.38286,8.0,24.0
TSLA,TSLA,1477528.5,88.62114,9.0,5.0
BRK-B,BRK-B,1061116.6,0.00036,10.0,516.0
LLY,LLY,857330.7,3.83394,11.0,196.0
JPM,JPM,852079.94,7.03109,12.0,117.0
WMT,WMT,815064.56,13.74581,13.0,50.0
ORCL,ORCL,707481.2,17.11873,14.0,41.0
V,V,655618.9,6.22471,15.0,137.0
XOM,XOM,496497.75,13.63742,16.0,52.0
MA,MA,496367.2,2.91654,17.0,263.0
NFLX,NFLX,460283.47,6.05381,18.0,141.0
JNJ,JNJ,449990.03,7.8752,19.0,102.0
PLTR,PLTR,449230.62,57.84126,20.0,8.0
AMD,AMD,418320.44,50.44208,21.0,11.0
COST,COST,416916.4,2.33889,22.0,300.0
ABBV,ABBV,381382.25,5.57033,23.0,153.0
BAC,BAC,379912.34,34.12444,24.0,20.0
HD,HD,370781.5,2.78178,25.0,270.0
ASML,ASML,350662.06,0.55362,26.0,493.0
PG,PG,343663.38,8.05011,27.0,100.0
GE,GE,320874.38,3.78313,28.0,201.0
CVX,CVX,315319.12,7.37193,29.0,110.0
KO,KO,295348.47,15.41893,30.0,44.0
UNH,UNH,295262.97,9.82126,31.0,77.0
CSCO,CSCO,285025.5,18.27492,32.0,38.0
IBM,IBM,282878.9,8.7205,33.0,89.0
WFC,WFC,278603.28,14.75653,34.0,47.0
MU,MU,264598.78,20.52279,35.0,33.0
CAT,CAT,263856.25,3.28089,36.0,238.0
MS,MS,260599.02,4.80069,37.0,172.0
AXP,AXP,249398.72,2.03393,38.0,325.0
CRM,CRM,242226.88,6.87457,39.0,119.0
GS,GS,237192.45,1.81745,40.0,347.0
RTX,RTX,234098.78,4.62749,41.0,176.0
PM,PM,230670.53,7.5506,42.0,105.0
TMUS,TMUS,229182.0,6.47638,43.0,130.0
ABT,ABT,217306.83,5.75201,44.0,150.0
SHOP,SHOP,214610.28,9.85613,45.0,76.0
MCD,MCD,213517.58,2.84191,46.0,266.0
TMO,TMO,211884.31,1.82648,47.0,345.0
MRK,MRK,209464.1,10.8796,48.0,66.0
APP,APP,208717.11,3.59158,49.0,217.0
DIS,DIS,199480.77,7.42201,50.0,108.0
LRCX,LRCX,195664.36,11.3873,51.0,59.0
LIN,LIN,194920.83,2.93775,52.0,257.0
PEP,PEP,194435.75,6.29974,53.0,134.0
UBER,UBER,194359.83,19.04209,54.0,37.0
AZN,AZN,194217.9,0.96103,55.0,450.0
ANET,ANET,192991.67,6.58648,56.0,127.0
ISRG,ISRG,191009.58,2.78851,57.0,269.0
QCOM,QCOM,189904.0,17.47976,58.0,40.0
C,C,187458.62,11.33408,59.0,60.0
PDD,PDD,187039.61,6.3076,60.0,133.0
NOW,NOW,184614.56,1.70162,61.0,359.0
INTU,INTU,184128.39,1.39666,62.0,399.0
AMAT,AMAT,183379.12,6.83291,63.0,121.0
ARM,ARM,178632.11,3.64564,64.0,211.0
INTC,INTC,176816.11,123.03104,65.0,3.0
BX,BX,174910.38,5.02974,66.0,168.0
T,T,173266.16,88.63786,67.0,4.0
BLK,BLK,172962.28,0.67829,68.0,477.0
NEE,NEE,170336.64,9.74736,69.0,79.0
SCHW,SCHW,169015.06,7.83918,70.0,103.0
APH,APH,167328.39,10.09693,71.0,72.0
VZ,VZ,165789.84,39.6132,72.0,14.0
KLAC,KLAC,161295.94,1.12645,73.0,436.0
BKNG,BKNG,160234.12,0.27735,74.0,507.0
AMGN,AMGN,159731.97,2.22751,75.0,311.0
TJX,TJX,159255.97,4.28179,76.0,186.0
GILD,GILD,151893.38,6.61601,77.0,125.0
ETN,ETN,151087.33,2.91763,78.0,261.0
SPGI,SPGI,150718.69,1.92463,79.0,336.0
ACN,ACN,150631.72,3.75338,80.0,205.0
BA,BA,150536.9,9.7774,81.0,78.0
DHR,DHR,149274.62,3.47596,82.0,223.0
GEV,GEV,148672.77,3.81629,83.0,198.0
BSX,BSX,145887.11,8.41874,84.0,94.0
PANW,PANW,145202.34,4.57785,85.0,178.0
TXN,TXN,144798.16,10.70097,86.0,69.0
COF,COF,140635.9,3.55184,87.0,220.0
ADBE,ADBE,140377.52,3.61886,88.0,213.0
PFE,PFE,139067.98,85.80864,89.0,6.0
SYK,SYK,136286.22,1.64401,90.0,370.0
CRWD,CRWD,133624.83,2.27039,91.0,307.0
LOW,LOW,130391.78,2.26699,92.0,308.0
UNP,UNP,130032.734,3.57816,93.0,218.0
HOOD,HOOD,126618.43,23.53214,94.0,29.0
DE,DE,126595.26,1.1802,95.0,428.0
HON,HON,124729.945,5.77216,96.0,148.0
