stock_code,trade_date,close,rs_rank,ma10,ma50,ma150,ma200,high_52w,low_52w,atr10,atr50,pivot_price,volume,vol50,fundamental_score,eps_acceleration,roe,revenue_growth,fcf_quality
UTHR,2025-12-19,517.1300048828125,74.53547297297297,495.85999755859376,462.659599609375,377.0488671875,358.18110092163084,518.6099853515625,266.9800109863281,12.16099853515625,12.2635986328125,513.9299926757812,1688600,537352.0,1.0,0.096,0.20041001,0.068,0.47205533364062546
MLI,2025-12-19,115.5999984741211,72.42398648648648,113.14100036621093,106.78164031982422,93.91335088094075,89.24449760437011,115.8499984741211,66.30552190236294,2.4389999389648436,2.569984300063873,115.27999877929688,3987400,760802.0,2.0,0.234,0.26139998,0.08,0.6958560187043434
PKE,2025-12-19,21.469999313354492,74.2820945945946,20.32800006866455,19.675,17.7974955368042,16.61793581008911,21.520000457763672,11.795757933599178,0.7439994812011719,0.7709998703002929,21.200000762939453,174200,110892.0,0.0,0.164,0.06764,-0.02,0.3022181875592043
C,2025-12-19,114.86000061035156,74.40878378378379,111.62099990844726,102.46106735229492,93.67955083211262,87.07093788146973,115.61000061035156,54.38554402903149,2.3259986877441405,2.757093207652389,113.8499984741211,37657800,13321196.0,0.0,0.159,0.06995,0.116,
HII,2025-12-19,336.6400146484375,75.59121621621621,324.4130065917969,307.42320556640624,272.4592322794596,256.6477473449707,337.44000244140625,155.2447138655004,9.417996215820313,9.429796165567273,333.30999755859375,1409100,466354.0,2.0,0.436,0.12387,0.161,0.539754552828175
ALB,2025-12-19,145.8800048828125,80.65878378378379,133.9812355041504,112.00746078491211,85.6067857615153,80.06082857131958,149.82000732421875,48.69759360761861,5.4988207291517694,6.192592315130833,140.77999877929688,6832300,3658226.0,0.0,,0.00209,-0.035,-0.1715705096060026
CDE,2025-12-19,18.25,82.64358108108108,16.845000076293946,16.942799968719484,13.457399997711182,11.603199999332428,23.6200008392334,4.579999923706055,1.1329999923706056,1.1950000762939452,18.18000030517578,34363000,17716472.0,3.0,4.475,0.19572,0.769,0.3347374965116258
CSTM,2025-12-19,18.760000228881836,76.1402027027027,18.18299980163574,16.460399913787843,14.787266623179118,13.683699984550476,18.780000686645508,7.329999923706055,0.5679998397827148,0.6782001113891601,18.75,2011300,1278816.0,2.0,11.571,0.121750005,0.202,0.08416433734939759
KRMN,2025-12-19,71.6500015258789,80.48986486486487,67.48400039672852,71.43499984741212,59.53793332417806,53.35124995231629,88.81999969482422,25.024999618530273,3.9885990142822267,4.148279647827149,71.36000061035156,7713200,1715062.0,2.0,0.781,0.04025,0.417,
KEN,2025-12-19,64.26000213623047,80.78547297297297,61.74100036621094,55.658960037231445,46.91525332132975,42.495759649276735,64.80000305175781,24.78154925010973,1.4034000396728517,1.4069403076171876,63.7599983215332,39000,10584.0,1.0,-0.419,0.22208,0.118,0.3137085670203429
IAG,2025-12-19,16.790000915527344,83.48817567567568,15.788000202178955,13.787000045776367,10.339866711298624,9.388900036811828,17.040000915527344,4.980000019073486,0.7100000381469727,0.7340000534057617,16.399999618530273,17229900,10076118.0,1.0,-0.765,0.10983,0.61,-0.45979758102387747
JUGRF,2025-12-19,1.031999945640564,81.3766891891892,0.9324999988079071,0.849779999256134,0.7219533336162567,0.6755100002884865,1.0499999523162842,0.33000001311302185,0.03909999132156372,0.05285999774932861,0.9649999737739563,59800,33808.0,0.0,,-0.075430006,,
