"stock_code","update_date","quarterly_eps_growth","annual_eps_growth","revenue_growth","roe","shares_outstanding","inst_ownership","fcf_quality","canslim_score"
PRSU,2025-12-23 00:00:00.000,0.519,0.575,0.322,-0.01815,28283264,1.07794,2.2059529122963624,5
HHH,2025-12-23 00:00:00.000,0.642,0.38,0.193,0.08611,59390960,0.90519994,1.1782114007611348,5
FSS,2025-12-23 00:00:00.000,0.263,0.276,0.17,0.19084999,60808577,1.0366,0.8964127367996776,5
ELMD,2025-12-23 00:00:00.000,0.449,0.563,0.151,0.19016,8340538,0.52689,0.8844158651248244,5
HUBS,2025-12-23 00:00:00.000,1.03,0.954,0.209,-0.00196,52385551,0.9318,0.854918170269457,5
LOAR,2025-12-23 00:00:00.000,2.189,2.222,0.224,0.06562,93622471,0.90129,0.8336343130087245,5
HG,2025-12-23 00:00:00.000,0.741,0.784,0.282,0.27356002,64537772,0.86691004,0.7930185783358593,5
GWRE,2025-12-23 00:00:00.000,2.426,2.28,0.265,0.06566,85019176,1.0050399,0.774879156389451,5
STC,2025-12-23 00:00:00.000,0.471,0.449,0.193,0.080419995,30209203,0.9402,0.7747543321906438,5
TPB,2025-12-23 00:00:00.000,0.703,0.687,0.312,0.24543,19070757,0.99641,0.7590113817255651,5
PRIM,2025-12-23 00:00:00.000,0.619,0.617,0.321,0.18563999,54032351,0.96049005,0.740734413152142,5
HEI,2025-12-23 00:00:00.000,0.348,0.33,0.193,0.16735001,55053674,0.73108,0.736022344574626,5
IMAX,2025-12-23 00:00:00.000,0.487,0.423,0.166,0.12397,53798934,0.92969,0.6820393665448483,5
FIX,2025-12-23 00:00:00.000,0.994,1.017,0.352,0.43842,35271950,0.98186,0.6701156528185768,5
SON,2025-12-23 00:00:00.000,1.414,1.413,0.573,0.06347,98633013,0.84109,0.6433779546979748,5
RGR,2025-12-23 00:00:00.000,1.387,1.381,0.536,0.49620998,15944253,0.72613,0.6097429550018066,5
JOE,2025-12-23 00:00:00.000,1.299,1.319,0.627,0.13964,57744530,0.87569,0.5799658930451825,5
ALSN,2025-12-23 00:00:00.000,0.967,1.17,0.204,0.40381,83228716,1.0496,0.5541044776119403,5
HII,2025-12-23 00:00:00.000,0.436,0.439,0.161,0.12387,39241434,0.96980006,0.539754552828175,5
LPG,2025-12-23 00:00:00.000,4.874,4.909,0.466,0.0881,42838114,0.65990996,0.5346841273024336,5
CDRE,2025-12-23 00:00:00.000,1.993,1.989,0.425,0.14168,40681668,0.73994005,0.5192413626333766,5
CMCL,2025-12-23 00:00:00.000,5.67,5.417,0.529,0.22223,19304784,0.52082,0.5181063596330812,5
LRN,2025-12-23 00:00:00.000,1.147,1.083,0.478,0.23041001,43858627,1.10958,0.4940088644997889,5
RL,2025-12-23 00:00:00.000,0.403,0.437,0.165,0.34005,38759382,1.01437,0.4706509596652622,5
ACA,2025-12-23 00:00:00.000,3.398,3.353,0.246,0.05921,49045025,0.94808996,0.4579160451736629,5
EAT,2025-12-23 00:00:00.000,1.584,1.583,0.185,2.49075,44431215,1.12027,0.4429274138398914,5
PEN,2025-12-23 00:00:00.000,0.553,0.56,0.178,0.13319,39162177,0.98508,0.36807444182561827,5
MTZ,2025-12-23 00:00:00.000,0.687,0.686,0.22,0.11773,78900930,0.74601996,0.2705729706215011,5
SXI,2025-12-23 00:00:00.000,6.602,6.613,0.266,0.07949,12116999,1.04534,0.2064529833836858,5
ECG,2025-12-23 00:00:00.000,0.364,0.355,0.297,0.35263002,51006575,0.87861,0.1560567182588864,5
BOOT,2025-12-23 00:00:00.000,0.435,0.442,0.187,0.18744,30483634,1.18793,0.03198405183992914,5
WS,2025-12-23 00:00:00.000,0.469,0.48,0.18,0.105220005,49857111,0.5442,-0.009715994020926755,5
IIIN,2025-12-23 00:00:00.000,2.116,2.12,0.321,0.113570005,19416462,0.83721,-0.06829142583661599,5
