is_current_hold,stock_code,close,ideal_entry,entry_price,hard_stop,target_profit,rs_rank,canslim_score,quarterly_eps_growth,annual_eps_growth,revenue_growth,roe,shares_outstanding,inst_ownership,fcf_quality,market_cap,sector,trade_state,trade_score,obv_ad_interpretation,trend_strength,trend_stage,option_state_cn
❌,JLL,357.91,353.40 - 358.33,355.87,337.35,369.45,76.3,5,0.44,0.44,0.11,0.09,47194630,0.94,1.75,16740974592,Real Estate,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,机构偏多
❌,ACA,114.47,113.26 - 114.84,114.05,108.13,118.39,73.29,5,3.4,3.35,0.25,0.06,49045025,0.95,0.46,5622521344,Industrials,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,中性
❌,VRT,186.18,190.11 - 191.77,191.4,177.37,198.47,82.87,4,1.26,1.22,0.29,0.39,382338313,0.81,0.34,74594205696,Industrials,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,机构偏多
❌,NYT,73.31,72.68 - 73.70,73.19,69.4,75.97,82.15,3,0.27,0.28,0.1,0.18,161568285,0.99,0.7,11957413888,Communication Services,主升浪建仓/加仓,100.0,明确吸筹,strong_uptrend,mid,机构偏多
❌,ROL,63.34,62.41 - 63.28,62.84,59.56,65.24,72.28,2,0.19,0.2,0.12,0.36,481150554,0.56,0.86,30358194176,Consumer Cyclical,主升浪建仓/加仓,97.04,明确吸筹,strong_uptrend,mid,机构偏多
❌,GATX,181.91,179.87 - 182.38,181.12,171.71,188.02,66.42,2,-0.08,-0.07,0.08,0.12,35678804,1.03,-0.94,6486049792,Industrials,主升浪建仓/加仓,95.15,明确吸筹,strong_uptrend,mid,中性
❌,PRIM,148.25,147.25 - 149.30,148.27,140.6,157.29,89.66,5,0.62,0.62,0.32,0.19,54032351,0.97,0.74,8238312960,Industrials,主升浪建仓/加仓,93.5,明确吸筹,strong_uptrend,mid,防御性对冲
❌,FLS,78.15,77.40 - 78.47,77.94,73.9,80.91,77.78,3,2.76,2.8,0.04,0.21,127115509,1.02,0.54,10284715008,Industrials,主升浪建仓/加仓,88.54,强趋势回撤,strong_uptrend,mid,中性
❌,AMGN,341.88,338.68 - 343.40,341.04,323.35,354.01,71.71,2,0.14,0.14,0.12,0.82,538480671,0.84,0.87,184666554368,Healthcare,主升浪建仓/加仓,88.05,明确吸筹,strong_uptrend,mid,中性
❌,AZZ,124.29,123.69 - 125.40,124.55,118.12,129.27,78.54,2,0.22,0.21,0.06,0.27,29855666,1.0,0.31,3756233728,Industrials,主升浪建仓/加仓,87.38,极度缩量(隐蔽吸筹),strong_uptrend,mid,中性
❌,TKR,93.19,92.19 - 93.47,92.83,88.01,96.37,72.64,2,-0.15,-0.15,0.03,0.1,69655588,0.95,0.74,6483890176,Industrials,主升浪建仓/加仓,86.45,强趋势回撤,strong_uptrend,mid,机构偏多
❌,ALNT,61.01,60.66 - 61.50,61.08,57.92,63.4,91.99,5,2.08,2.06,0.11,0.07,16943497,0.77,0.87,1038297408,Technology,主升浪建仓/加仓,86.3,强趋势回撤,strong_uptrend,mid,防御性对冲
✅,AMTM,35.78,35.71 - 36.21,35.96,34.11,37.32,90.08,4,0.54,-0.43,0.77,0.01,243712062,1.05,1.75,8866245632,Industrials,主升浪建仓/加仓,85.98,明确吸筹,strong_uptrend,mid,防御性对冲
❌,CMI,578.82,572.21 - 580.19,576.2,546.25,598.17,88.05,1,-0.34,-0.34,-0.02,0.23,138036253,0.88,0.47,80604889088,Industrials,主升浪建仓/加仓,82.76,明确吸筹,strong_uptrend,mid,中性
❌,HLIO,64.78,64.69 - 65.58,65.13,61.78,67.59,86.78,2,-0.1,-0.09,0.13,0.04,33128494,1.02,0.51,2186495744,Industrials,主升浪建仓/加仓,81.03,强趋势回撤,strong_uptrend,mid,中性
❌,WCC,289.43,287.26 - 291.26,289.26,274.28,300.24,85.09,3,-0.08,-0.0,0.13,0.13,48646230,1.03,1.05,14223625216,Industrials,主升浪建仓/加仓,78.24,极度缩量(隐蔽吸筹),strong_uptrend,mid,防御性对冲
❌,DOLE,15.93,15.77 - 15.99,15.88,15.06,16.48,68.96,3,-0.65,-0.64,0.1,0.1,95162657,0.71,1.82,1507243264,Consumer Defensive,主升浪建仓/加仓,76.51,明确吸筹,strong_uptrend,mid,防御性对冲
❌,ROK,421.65,417.18 - 423.00,420.09,398.27,446.0,80.27,2,-0.42,-0.41,0.14,0.2,112433185,0.87,0.83,47178649600,Industrials,主升浪建仓/加仓,70.33,极度缩量(隐蔽吸筹),strong_uptrend,mid,防御性对冲
❌,EXPD,160.54,159.15 - 161.37,160.26,151.95,166.35,83.1,1,-0.03,0.01,-0.04,0.37,134020931,1.04,0.76,21918541824,Industrials,主升浪建仓/加仓,66.95,强趋势回撤,strong_uptrend,mid,中性
❌,FOXA,72.78,71.68 - 72.68,72.18,68.41,75.76,80.33,1,-0.28,-0.26,0.05,0.17,208361696,1.17,0.7,31892842496,Communication Services,资金明确派发，禁止交易,19.49,派发阶段,trend_pullback,unknown,中性
❌,HEI,330.91,328.06 - 332.62,330.34,313.22,342.9,70.86,5,0.35,0.33,0.19,0.17,55142805,0.74,0.72,46260801536,Industrials,资金结构恶化，仅观察,43.85,控盘减弱预警,trend_pullback,unknown,机构偏多
❌,DY,364.39,363.01 - 368.04,365.52,346.66,379.35,89.0,4,0.52,0.53,0.14,0.22,29967120,0.97,0.44,10952083456,Industrials,资金结构恶化，仅观察,33.55,控盘减弱预警,strong_uptrend,mid,防御性对冲
❌,YETI,45.71,45.41 - 46.04,45.72,43.35,47.45,73.99,2,-0.3,-0.27,0.02,0.22,77808113,1.23,0.46,3750934784,Consumer Cyclical,资金结构恶化，仅观察,27.08,控盘减弱预警,trend_pullback,unknown,机构偏多
❌,CSGS,79.75,79.22 - 80.32,79.77,75.64,82.8,76.32,3,0.07,0.09,0.03,0.29,28520509,1.02,1.28,2273369600,Technology,资金结构恶化，仅观察,27.03,控盘减弱预警,uptrend,unknown,防御性对冲
